region,zone,district,Month,Year,date,test_performed,confirmed_all,confirmed_u5,confirmed_5_14,confirmed_15,population,pop_5,pop_514,pop_15,war_affected_regions,war_affected_zones,war_affected_districts
Amhara,Awi,Ankasha,April,2021,2021-04-01,247,45,7,5,33,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,May,2021,2021-05-01,200,37,1,4,32,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,June,2021,2021-06-01,214,38,1,7,30,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,July,2019,2019-07-01,354,81,8,20,53,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,August,2019,2019-08-01,520,83,2,12,69,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,September,2019,2019-09-01,508,122,6,32,84,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,October,2019,2019-10-01,454,100,11,12,77,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,November,2019,2019-11-01,468,101,6,26,69,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,December,2019,2019-12-01,398,78,4,7,67,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,January,2019,2019-01-01,200,34,3,4,27,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,February,2019,2019-02-01,212,41,4,14,23,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,March,2019,2019-03-01,303,63,0,22,41,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,April,2019,2019-04-01,622,115,4,39,72,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,May,2019,2019-05-01,915,381,22,92,267,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,June,2019,2019-06-01,2022,968,154,236,578,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,July,2020,2020-07-01,1451,487,32,103,352,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,August,2020,2020-08-01,1675,685,31,245,409,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,September,2020,2020-09-01,1464,526,36,95,395,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,October,2020,2020-10-01,1452,370,34,102,234,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,November,2020,2020-11-01,1574,586,19,110,457,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,December,2020,2020-12-01,1690,407,20,106,281,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,January,2020,2020-01-01,967,189,18,26,145,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,February,2020,2020-02-01,686,65,5,11,49,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,March,2020,2020-03-01,381,60,1,9,50,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,April,2020,2020-04-01,310,39,8,9,22,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
